fold,horizon,status,train_n,test_n,raw_auc,raw_msr,raw_x0,raw_x1,filtered_auc,filtered_msr,filtered_x0,filtered_x1,residual_auc,residual_msr,residual_x0,residual_x1,error
Auction_MinMax_CF_4,k=30,ok,92448,24571,0.4912013748077345,0.2500714050528142,-0.01444878175506374,-0.0339072416437876,0.5376266117889913,0.2494136865146198,0.009616662749241126,0.0730818768860533,0.5398575423736809,0.2486720160448198,-0.000924175791168505,-0.2335657368019646,
Auction_MinMax_CF_4,k=50,ok,111720,29494,0.4916161906503118,0.25017003081858513,-0.010961365378842602,-0.06721479985707646,0.4970863176895772,0.25069636830458863,-0.03145897574690659,-0.14898346988883815,0.5060968556452914,0.25049245682555454,-0.003610173782182039,0.2642212141264868,
Auction_MinMax_CF_4,k=100,ok,133742,34852,0.514367942175949,0.24997293889990685,0.01648829349487971,0.019376481302509553,0.4909734338716859,0.2506137404459581,-0.014343705735372131,-0.11565130397881686,0.5006734153736989,0.2510590583507933,0.0035426451511099202,0.34104710714759956,
Auction_MinMax_CF_5,k=10,ok,71936,15990,0.5728110372340426,0.24630912639156285,-0.11841272625881934,-0.4824632066409082,0.50974324155194,0.2499869155896932,-0.008363337930457206,0.01864479490195317,0.5811277377972466,0.2435607091887324,0.01108498403902881,-0.7688835965366155,
Auction_MinMax_CF_5,k=20,ok,97713,21386,0.5238599483248203,0.24957165459518185,0.02015482639626672,0.15718836248307513,0.5734060817711507,0.24673566288130966,0.0749509092476691,0.36029124018065534,0.5634887065221931,0.24629373678188068,0.0036607718980797557,-0.5978337836922561,
Auction_MinMax_CF_5,k=30,ok,117019,25487,0.49786277789937317,0.2500201950559183,-0.012072276202095321,-0.01573067771492131,0.5270853964929009,0.2496508397674664,0.015201949122226985,0.09769362918667708,0.5238290650407406,0.24925590650389215,-0.0003842743088997916,-0.2672513813892398,
Auction_MinMax_CF_5,k=50,ok,141214,30533,0.5058906918868763,0.24998073727096987,-0.008258785302713413,-0.04480876377757352,0.5135381693613295,0.24983118200281157,-0.026248288631812312,-0.11368742652648164,0.5261103212890444,0.24976661178160398,-0.004813655597514288,0.21644855511167366,
Auction_MinMax_CF_5,k=100,ok,168594,36251,0.50011932148018,0.2500303693980882,0.0161571375312464,0.029034130332581565,0.5143118942792965,0.24983127199302568,-0.010338519390782164,-0.0824112959216567,0.5329505517904995,0.24938047892756574,0.0014971632345297317,0.27218790091803957,
Auction_MinMax_CF_6,k=10,ok,87926,16035,0.5851169129807714,0.24494720208154083,-0.09994944210733468,-0.47786030829132287,0.4993345551799086,0.25005060476105734,-0.007623348989960114,0.015526909066938991,0.5860781292056079,0.24266237187030906,0.006588452671501531,-0.7598809403080592,
Auction_MinMax_CF_6,k=20,ok,119099,21735,0.5097420626523754,0.25013341459567173,0.019159873652883457,0.1581102811817578,0.5641998990683406,0.24736807990624998,0.06413098280499227,0.35680654452125415,0.5733430738867658,0.2451260281322608,0.0024988466579227604,-0.5838635730736389,
